sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
56.771;115;;60s;Yes;No;3;0.36836;0.87333;0.18865;0.62094;1.70651;CounterOfferHumanNegotiationParty@18;RandomCounterOfferNegotiationParty@19;RandomCounterOfferNegotiationParty@20;0.8733333333333334;0.3683605649631385;0.46481601227438407;0.8733333333333334;0.3683605649631385;0.46481601227438407;party1_utility.xml;party2_utility.xml;party3_utility.xml
58.009;9;;60s;Yes;No;3;0.29693;1.00000;0.00000;0.67808;1.89378;CounterOfferHumanNegotiationParty@21;RandomCounterOfferNegotiationParty@22;RandomCounterOfferNegotiationParty@23;1.0;0.2969260373579895;0.5968500104495003;1.0;0.2969260373579895;0.5968500104495003;party1_utility.xml;party2_utility.xml;party3_utility.xml
56.376;38;;60s;Yes;No;3;0.58562;1.00000;0.00000;0.19642;2.24396;RandomCounterOfferNegotiationParty@24;CounterOfferHumanNegotiationParty@25;RandomCounterOfferNegotiationParty@26;0.6583333333333333;1.0;0.5856226065195247;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
55.808;53;;60s;Yes;No;3;0.43241;1.00000;0.00000;0.64373;1.91991;RandomCounterOfferNegotiationParty@27;RandomCounterOfferNegotiationParty@28;CounterOfferHumanNegotiationParty@29;0.48749999999999993;0.43241457513409964;0.9999999999999999;0.48749999999999993;0.43241457513409964;0.9999999999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml
55.942;44;;60s;Yes;No;3;0.43241;1.00000;0.00000;0.64373;1.91991;RandomCounterOfferNegotiationParty@30;RandomCounterOfferNegotiationParty@31;CounterOfferHumanNegotiationParty@32;0.48749999999999993;0.43241457513409964;0.9999999999999999;0.48749999999999993;0.43241457513409964;0.9999999999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml
56.014;135;;60s;Yes;No;3;0.58562;1.00000;0.00000;0.19642;2.24396;RandomCounterOfferNegotiationParty@33;CounterOfferHumanNegotiationParty@34;RandomCounterOfferNegotiationParty@35;0.6583333333333333;1.0;0.5856226065195247;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
11.412;12;;60s;No;No;0;0.00000;0.00000;1.16612;1.41191;0.00000;CounterOfferHumanNegotiationParty@36;RandomCounterOfferNegotiationParty@37;RandomCounterOfferNegotiationParty@38;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.932;2;;60s;No;No;0;0.00000;0.00000;1.16612;1.41191;0.00000;CounterOfferHumanNegotiationParty@39;RandomCounterOfferNegotiationParty@40;RandomCounterOfferNegotiationParty@41;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.693;2;;60s;No;No;0;0.00000;0.00000;1.16612;1.41191;0.00000;RandomCounterOfferNegotiationParty@42;CounterOfferHumanNegotiationParty@43;RandomCounterOfferNegotiationParty@44;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.496;2;;60s;No;No;0;0.00000;0.00000;1.16612;1.41191;0.00000;RandomCounterOfferNegotiationParty@45;RandomCounterOfferNegotiationParty@46;CounterOfferHumanNegotiationParty@47;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
