Run time (s),Round,Exception,deadline,Agreement,Discounted,#agreeing,min.util.,max.util.,Dist. to Pareto,Dist. to Nash,Social Welfare,Agent 1,Agent 2,Agent 3,Utility 1,Utility 2,Utility 3,Disc. Util. 1,Disc. Util. 2,Disc. Util. 3,Profile 1,Profile 2,Profile 3
54.003,6092,,60s,Yes,No,3,0.52156,1,0,0.4882,2.26239,RandomCounterOfferNegotiationParty@0,RandomCounterOfferNegotiationParty@1,/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@2,0.740833333,0.521555158,1,0.740833333,0.521555158,1,party1_utility.xml,party2_utility.xml,party_util2.xml
54.003,7505,,60s,Yes,No,3,0.54649,1,0,0.28479,2.20482,RandomCounterOfferNegotiationParty@3,/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@4,RandomCounterOfferNegotiationParty@5,0.658333333,1,0.546488389,0.658333333,1,0.546488389,party1_utility.xml,party2_utility.xml,party_util2.xml
54.001,5454,,60s,Yes,No,3,0.29693,1,0,0.74332,2.00321,/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@6,RandomCounterOfferNegotiationParty@7,RandomCounterOfferNegotiationParty@8,1,0.296926037,0.706288481,1,0.296926037,0.706288481,party1_utility.xml,party2_utility.xml,party_util2.xml
54.002,7630,,60s,Yes,No,3,0.29693,1,0,0.74332,2.00321,/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@9,RandomCounterOfferNegotiationParty@10,RandomCounterOfferNegotiationParty@11,1,0.296926037,0.706288481,1,0.296926037,0.706288481,party1_utility.xml,party2_utility.xml,party_util2.xml
54.001,9207,,60s,Yes,No,3,0.54649,1,0,0.28479,2.20482,RandomCounterOfferNegotiationParty@12,/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@13,RandomCounterOfferNegotiationParty@14,0.658333333,1,0.546488389,0.658333333,1,0.546488389,party1_utility.xml,party2_utility.xml,party_util2.xml
54.001,7604,,60s,Yes,No,3,0.52156,1,0,0.4882,2.26239,RandomCounterOfferNegotiationParty@15,RandomCounterOfferNegotiationParty@16,/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@17,0.740833333,0.521555158,1,0.740833333,0.521555158,1,party1_utility.xml,party2_utility.xml,party_util2.xml
54.001,5510,,60s,Yes,No,3,0.6475,1,0,0.3266,2.35934,RandomCounterOfferNegotiationParty@18,RandomCounterOfferNegotiationParty@19,/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@20,0.6475,0.711838587,1,0.6475,0.711838587,1,party1_utility.xml,party2_utility.xml,party_util2.xml
54.001,9221,,60s,Yes,No,3,0.54649,1,0,0.28479,2.20482,RandomCounterOfferNegotiationParty@21,/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@22,RandomCounterOfferNegotiationParty@23,0.658333333,1,0.546488389,0.658333333,1,0.546488389,party1_utility.xml,party2_utility.xml,party_util2.xml
54.02,10973,,60s,Yes,No,3,0.29693,1,0,0.74332,2.00321,/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@24,RandomCounterOfferNegotiationParty@25,RandomCounterOfferNegotiationParty@26,1,0.296926037,0.706288481,1,0.296926037,0.706288481,party1_utility.xml,party2_utility.xml,party_util2.xml
54.002,9605,,60s,Yes,No,3,0.29693,1,0,0.74332,2.00321,/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@27,RandomCounterOfferNegotiationParty@28,RandomCounterOfferNegotiationParty@29,1,0.296926037,0.706288481,1,0.296926037,0.706288481,party1_utility.xml,party2_utility.xml,party_util2.xml
54.002,7987,,60s,Yes,No,3,0.54649,1,0,0.28479,2.20482,RandomCounterOfferNegotiationParty@30,/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@31,RandomCounterOfferNegotiationParty@32,0.658333333,1,0.546488389,0.658333333,1,0.546488389,party1_utility.xml,party2_utility.xml,party_util2.xml
54.002,5301,,60s,Yes,No,3,0.61417,1,0,0.22683,2.49757,RandomCounterOfferNegotiationParty@33,RandomCounterOfferNegotiationParty@34,/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@35,0.614166667,0.883399247,1,0.614166667,0.883399247,1,party1_utility.xml,party2_utility.xml,party_util2.xml
