sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
60.000;500;;60s;No;No;1;0.00000;0.00000;1.31618;1.67129;0.00000;Mercury@0;Atlas3@1;AgentBuyogMain@2;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;1000;;60s;No;No;1;0.00000;0.00000;1.31618;1.67129;0.00000;Mercury@4;Atlas3@5;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@6;AgentBuyogMain@7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;381;;60s;No;No;1;0.00000;0.00000;1.31618;1.67129;0.00000;Mercury@8;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@9;Atlas3@10;AgentBuyogMain@11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;980;;60s;No;No;1;0.00000;0.00000;1.31618;1.67129;0.00000;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@12;Mercury@13;Atlas3@14;AgentBuyogMain@15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;771;;60s;No;No;2;0.00000;0.00000;1.31618;1.67129;0.00000;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@16;Mercury@17;AgentBuyogMain@18;Atlas3@19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;283;;60s;No;No;2;0.00000;0.00000;1.31618;1.67129;0.00000;Mercury@20;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@21;AgentBuyogMain@22;Atlas3@23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
27.244;556;;60s;Yes;No;4;0.54649;1.00000;0.00000;0.49090;2.79044;Mercury@24;AgentBuyogMain@25;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@26;Atlas3@27;0.6583333333333333;1.0;0.5856226065195247;0.5464883887015706;0.6583333333333333;1.0;0.5856226065195247;0.5464883887015706;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;422;;60s;No;No;1;0.00000;0.00000;1.31618;1.67129;0.00000;Mercury@28;AgentBuyogMain@29;Atlas3@30;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;777;;60s;No;No;1;0.00000;0.00000;1.31618;1.67129;0.00000;AgentBuyogMain@32;Mercury@33;Atlas3@34;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;484;;60s;No;No;2;0.00000;0.00000;1.31618;1.67129;0.00000;AgentBuyogMain@36;Mercury@37;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@38;Atlas3@39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;788;;60s;No;No;2;0.00000;0.00000;1.31618;1.67129;0.00000;AgentBuyogMain@40;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@41;Mercury@42;Atlas3@43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;514;;60s;No;No;2;0.00000;0.00000;1.31618;1.67129;0.00000;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@44;AgentBuyogMain@45;Mercury@46;Atlas3@47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
